2pac-trapped	TRYURZE12519EE3011
tori_amos-professional_widow	TRUSNZP1251B37ABB9
touchinggrace-wild_spring_apples	TRSFHVE120E7ECE98F
traffic-pearly_queen	TRWWSZW1251B37A7D2
tricky-christiansands	TRXKMSG1251B37C329
troggs-wild_thing	TRSXNDQ1251B3A2C5B
turtles-elenore	TRPBROC1251B37ABBA
u2-hold_me_thrill_me_kiss_me_kill_me	TRNFVDK12523AC05F2
ultravox-dancing_with_tears_in_my_eyes	TRNAWXO1251B39DA51
uncle_tupelo-the_long_cut	TRLHAEZ1251B3A2C5C
urge_overkill-sister_havana	TRPGTTV1251B3A1CB9
utopia_banished-by_mourning	TRKJTWA120E7ECE878
van_halen-aint_talkin_bout_love	TREPCLF1251B37ABBB
van_morrison-and_it_stoned_me	TRSLQFJ1251B1B07B7
vapors-turning_japanese	TRYBIPM1251B37C32A
velvet_underground-new_age	TRNDXXS1251B3A1CBA
version-universal_humans	TRXDUBV120E7ECEAD2
very_large_array-psychedelic_baby	TRGODDR120E7ECF40E
violent_femmes-blister_in_the_sun	TRSOSTM1251B39F1C2
war-all_day_music	TRNDARZ1251B37DE81
weezer-buddy_holly	TRDSGDE1251B1B1B3B
wes_montgomery-bumpin	TRPHJEX1251B1B712B
west_exit-nocturne	TRVVGJI120E7ECE8FF
white_stripes-hotel_yorba	TRADCTE1251B1C829B
whitney_houston-how_will_i_know	TRJYBGT1251B0D28EC
who-bargain	TRMHJHB1251B37C711
wicked_allstars-happy	TRQSCSB120E7ECEA11
wicked_boy-pressure	TRHNEUD120E7ECE91B
wilco-kingpin	TRBRMBB1251B39FD79
williamson-whats_on_the_ceiling_beats_whats_on_tv	TRUIOZQ120E7ECF25A
xtc-love_at_first_sight	TRPWLYK125205FFFA1
yakshi-chandra	TRCBHJX120E7ECE9C8
yeah_yeah_yeahs-maps	TRAOKKG1251B57D619
yes-leave_it	TRSFDAD1251B582C09
yo_la_tengo-tom_courtenay	TRQLVPO1251B575531
young_mc-bust_a_move	TRUVOKB1251B594931
young_rascals-baby_lets_wait	TRLKBDE1251B58A909
zapp-dance_floor	TRQKJON1251B57C67A
zombies-beechwood_park	TRPNPLN1251B58C079
